CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
2794,506,1007251,LIBRE,150
2794,506,1007261,PDC,45
2794,506,1007261,LIBRE,157
2794,506,1007271,PDC,15
2794,506,1007271,LIBRE,61
2794,229,1007691,PDC,99
2794,229,1007691,LIBRE,106
2794,229,1007711,PDC,80
2794,229,1007711,LIBRE,118
2794,229,1007721,PDC,107
2794,229,1007721,LIBRE,94
2794,229,1007731,PDC,80
2794,229,1007731,LIBRE,115
2794,229,1007761,PDC,70
2794,229,1007761,LIBRE,126
2794,229,1007771,PDC,69
2794,229,1007771,LIBRE,130
2794,229,1007781,PDC,89
2794,229,1007781,LIBRE,110
2794,229,1007791,PDC,53
2794,229,1007791,LIBRE,69
2794,25028,1007961,PDC,15
2794,25028,1007961,LIBRE,30
2794,208,1007971,PDC,37
2794,208,1007971,LIBRE,167
2794,208,1007981,PDC,41
2794,208,1007981,LIBRE,168
2794,208,1007991,PDC,41
2794,208,1007991,LIBRE,160
2794,208,1008001,PDC,50
2794,208,1008001,LIBRE,155
2794,208,1008011,PDC,34
2794,208,1008011,LIBRE,163
2794,208,1008021,PDC,38
2794,208,1008021,LIBRE,170
2794,208,1008031,PDC,51
2794,208,1008031,LIBRE,150
2794,208,1008041,PDC,26
2794,208,1008041,LIBRE,166
2794,32389,1008871,PDC,78
2794,32389,1008871,LIBRE,149
2794,32389,1008881,PDC,11
2794,32389,1008881,LIBRE,18
2794,30002,1009241,PDC,51
2794,30002,1009241,LIBRE,157
2794,30002,1009271,PDC,45
2794,30002,1009271,LIBRE,169
2794,30002,1009281,PDC,31
2794,30002,1009281,LIBRE,173
2794,507,1009311,PDC,54
2794,507,1009311,LIBRE,151
2794,507,1009321,PDC,36
2794,507,1009321,LIBRE,166
2794,507,1009331,PDC,43
2794,507,1009331,LIBRE,154
2794,507,1009351,PDC,36
2794,507,1009351,LIBRE,105
2794,32160,1009421,PDC,127
2794,32160,1009421,LIBRE,76
2794,32160,1009431,PDC,80
2794,32160,1009431,LIBRE,51
2794,116,1009591,PDC,86
2794,116,1009591,LIBRE,116
2794,116,1009611,PDC,112
2794,116,1009611,LIBRE,83
2794,116,1009621,PDC,97
2794,116,1009621,LIBRE,102
2794,116,1009641,PDC,95
2794,116,1009641,LIBRE,103
2794,116,1009651,PDC,91
2794,116,1009651,LIBRE,94
2794,116,1009671,PDC,118
2794,116,1009671,LIBRE,76
2794,32388,1009931,PDC,6
2794,32388,1009931,LIBRE,7
2794,26375,1010031,PDC,60
2794,26375,1010031,LIBRE,30
2794,26371,1010211,PDC,151
2794,26371,1010211,LIBRE,44
729,601,2015991,PDC,176
